"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"Data Science, Python, Pandas, Tableau","https://example.com/data-science-portfolio"
"Data Engineering, SQL, Spark, Airflow","https://example.com/data-engineering-portfolio"
"Cloud Architecture, AWS, Terraform, Kubernetes","https://example.com/cloud-aws-portfolio"
"Cloud Solutions, Azure, Docker, CI/CD","https://example.com/cloud-azure-portfolio"
"Cybersecurity, Network Security, Penetration Testing","https://example.com/cybersecurity-portfolio"
"AI, Deep Learning, PyTorch, NLP","https://example.com/ai-portfolio"
"Blockchain, Solidity, Ethereum, Web3","https://example.com/blockchain-portfolio"
"SEO, Google Analytics, Content Marketing","https://example.com/seo-marketing-portfolio"
"Digital Marketing, Google Ads, Facebook Ads, PPC","https://example.com/digital-marketing-portfolio"
"Social Media Marketing, Instagram, TikTok, Content Creation","https://example.com/social-media-portfolio"
"Email Marketing, Mailchimp, HubSpot, Automation","https://example.com/email-marketing-portfolio"
"Content Writing, Copywriting, Blog Management","https://example.com/content-writing-portfolio"
"Brand Strategy, Branding, Market Research","https://example.com/branding-portfolio"
"Sales, Salesforce, CRM, Lead Generation","https://example.com/sales-portfolio"
"B2B Sales, Account Management, Enterprise Sales","https://example.com/b2b-sales-portfolio"
"Business Development, Partnerships, Strategy","https://example.com/business-development-portfolio"
"Financial Analysis, Excel, Financial Modeling","https://example.com/financial-analysis-portfolio"
"Accounting, QuickBooks, GAAP, Bookkeeping","https://example.com/accounting-portfolio"
"Investment Banking, Valuation, M&A","https://example.com/investment-banking-portfolio"
"Tax Preparation, Tax Planning, Compliance","https://example.com/tax-portfolio"
"HR Management, Workday, Employee Relations","https://example.com/hr-management-portfolio"
"Recruiting, LinkedIn, ATS, Talent Sourcing","https://example.com/recruiting-portfolio"
"Training, Learning Management, E-Learning","https://example.com/training-portfolio"
"UX Design, Figma, User Research, Prototyping","https://example.com/ux-design-portfolio"
"UI Design, Sketch, Adobe XD, Interface Design","https://example.com/ui-design-portfolio"
"Graphic Design, Photoshop, Illustrator, Branding","https://example.com/graphic-design-portfolio"
"Video Production, Premiere Pro, After Effects","https://example.com/video-production-portfolio"
"Project Management, Agile, Scrum, Jira","https://example.com/project-management-portfolio"
"Product Management, Roadmapping, User Stories","https://example.com/product-management-portfolio"
"Operations Management, Process Improvement, Lean","https://example.com/operations-portfolio"
"Supply Chain, Logistics, Inventory Management","https://example.com/supply-chain-portfolio"
"Customer Service, Zendesk, Support Operations","https://example.com/customer-service-portfolio"
"Technical Support, Troubleshooting, Help Desk","https://example.com/tech-support-portfolio"
"Healthcare Administration, EMR, HIPAA Compliance","https://example.com/healthcare-admin-portfolio"
"Medical Coding, ICD-10, CPT, Medical Billing","https://example.com/medical-coding-portfolio"
"Nursing, Patient Care, Clinical Documentation","https://example.com/nursing-portfolio"
"Education, Curriculum Development, Teaching","https://example.com/education-portfolio"
"Corporate Training, Instructional Design, LMS","https://example.com/corporate-training-portfolio"
"Legal, Contract Review, Legal Research","https://example.com/legal-portfolio"
"Real Estate, Property Management, CRM","https://example.com/real-estate-portfolio"
"Event Planning, Event Management, Coordination","https://example.com/event-planning-portfolio"
"Administrative, Executive Support, Office Management","https://example.com/administrative-portfolio"
"Quality Assurance, Testing, QA Automation","https://example.com/qa-portfolio"
"Research, Data Analysis, Academic Research","https://example.com/research-portfolio"
"Consulting, Strategy, Business Analysis","https://example.com/consulting-portfolio"
